epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,12105.8,0.21605,0.40822,0.83669,0.0349,0.03384,0.01003,0.00294,4.90993,3.56193,7.19816,0.00488829,0.00488829,0.00488829
98,12231,0.21905,0.42196,0.83811,0.04341,0.02828,0.00885,0.00274,4.89016,3.62526,7.13762,0.00488597,0.00488597,0.00488597
99,12356.1,0.21687,0.41713,0.83647,0.04374,0.02828,0.00793,0.0027,4.90314,3.6015,7.19188,0.00488362,0.00488362,0.00488362
100,12481.1,0.21762,0.41726,0.83829,0.05073,0.03384,0.00861,0.00264,4.92646,3.59696,7.26371,0.00488126,0.00488126,0.00488126
101,12606,0.21648,0.4189,0.83778,0.04912,0.03384,0.00864,0.00264,4.9229,3.64814,7.23833,0.00487886,0.00487886,0.00487886
102,12731.2,0.22203,0.42468,0.83962,0.04937,0.03384,0.00838,0.00238,4.94638,3.62717,7.28256,0.00487645,0.00487645,0.00487645
103,12856.2,0.21766,0.41622,0.8371,0.04853,0.03384,0.00863,0.00246,4.95985,3.68275,7.29389,0.00487401,0.00487401,0.00487401
104,12981.4,0.21911,0.41815,0.8383,0.04216,0.02759,0.00738,0.00233,4.96533,3.70009,7.30425,0.00487155,0.00487155,0.00487155
105,13106.6,0.21613,0.41187,0.83622,0.04153,0.02759,0.00724,0.00228,4.96982,3.72985,7.31868,0.00486907,0.00486907,0.00486907
106,13231.5,0.21898,0.42305,0.83759,0.04172,0.02759,0.00731,0.00231,5.00433,3.77931,7.39709,0.00486656,0.00486656,0.00486656
107,13356.6,0.21651,0.41145,0.83622,0.04056,0.02759,0.008,0.00225,5.00574,3.74321,7.38049,0.00486403,0.00486403,0.00486403
108,13481.8,0.21797,0.41882,0.83957,0.04004,0.02759,0.00795,0.00223,5.01655,3.76329,7.38719,0.00486148,0.00486148,0.00486148
109,13607.2,0.216,0.4198,0.83694,0.03971,0.02759,0.00785,0.00222,5.02174,3.74745,7.38806,0.0048589,0.0048589,0.0048589
110,13732.3,0.21605,0.40922,0.8366,0.03924,0.02759,0.00768,0.00221,5.01465,3.74973,7.34614,0.0048563,0.0048563,0.0048563
111,13857.3,0.21864,0.41484,0.8377,0.03926,0.02759,0.00765,0.00219,5.02241,3.73428,7.36618,0.00485368,0.00485368,0.00485368
112,13982.5,0.2176,0.41345,0.83768,0.03848,0.02759,0.00765,0.00218,5.02433,3.74113,7.35543,0.00485103,0.00485103,0.00485103
113,14107.5,0.21573,0.41177,0.8376,0.03833,0.02759,0.00767,0.00219,5.01915,3.72085,7.33563,0.00484837,0.00484837,0.00484837
114,14232.4,0.21654,0.41512,0.83723,0.03806,0.02759,0.00778,0.00223,5.00169,3.70377,7.31718,0.00484568,0.00484568,0.00484568
115,14357.6,0.21472,0.40794,0.83718,0.03817,0.02759,0.0077,0.00236,5.00132,3.70553,7.3063,0.00484296,0.00484296,0.00484296
116,14482.7,0.21402,0.41195,0.8366,0.03821,0.02759,0.00766,0.00224,5.00233,3.74407,7.29513,0.00484022,0.00484022,0.00484022
117,14607.7,0.21483,0.41244,0.83747,0.03835,0.02759,0.00772,0.002,4.99642,3.75845,7.27219,0.00483746,0.00483746,0.00483746
118,14732.7,0.21539,0.41318,0.83716,0.03834,0.02759,0.00763,0.00198,5.00544,3.77013,7.29488,0.00483468,0.00483468,0.00483468
119,14857.9,0.21394,0.41775,0.83744,0.0383,0.02759,0.00755,0.00195,5.00865,3.80656,7.28317,0.00483188,0.00483188,0.00483188
120,14982.8,0.21242,0.40626,0.83629,0.03835,0.02759,0.0075,0.00193,5.01377,3.79608,7.29746,0.00482905,0.00482905,0.00482905
121,15107.9,0.21085,0.40515,0.83555,0.03851,0.02759,0.00749,0.00193,5.01494,3.80265,7.30439,0.0048262,0.0048262,0.0048262
122,15233,0.21386,0.4121,0.83727,0.03837,0.02759,0.00756,0.00193,5.01838,3.81145,7.31711,0.00482332,0.00482332,0.00482332
123,15358.1,0.21153,0.41228,0.83591,0.0383,0.02759,0.00752,0.00165,5.01326,3.83297,7.3131,0.00482043,0.00482043,0.00482043
